,Amoxicillin,Ampicillin,Azithromycin,Cefalexin,Cefotaxime,Chlortetracycline,Ciprofloxacin,Clarithromycin,Doxycycline,Enrofloxacin,Erythromycin_H2O,Lincomycin,Ofloxacin,Oxytetracycline,Roxythromycin,Sulfadiazine,Sulfamethazine,Sulfamethoxazole,Trimethoprim,pH,Salinity,DOC,DO,Temperature,NO3,PO4
106,22.7,0.3345,7.7,4.2,2.74,19.55,2.105,29.15,1.14,0.3505,37.15,19.25,27,0.345,41.95,5,0.454,21.85,17.95,8.53,27.2,5.215,12.77,5.6,0.008,0.003
107,19.35,0,7.4,3.64,1,13.2,1.9,19.35,1.22,0.925,17.65,8.7,21.85,0.318,29.25,2.015,0,11.25,11.9,8.49,26.9,5.876,12.56,6.1,0.01,0.001
108,0,0,1.385,3.14,0.64,8.15,1.245,0.2835,0.425,0.183,1.605,0.3845,5.05,0.2635,0.384,10.9,0,1.02,0.86,8.49,27.3,6.836,12.38,4.5,0.045,0.152
109,0,0,2.485,0.81,0.675,7.85,0.715,0.3155,0.403,0.735,0.94,0.4755,9.25,0.4595,0.62,9.85,0,1.82,2.745,8.5,28.1,6.532,12.65,4.6,0.025,0.12
110,0,0,2.335,0.52,0.9,5.3,1.205,0.3685,0.4875,0.15,2.395,0.51,1.57,0.312,0.1935,11.15,0,1.17,0.525,8.52,27.8,6.154,12.85,5.1,0.042,0.117
111,0,0,2.63,0.725,0.72,7.2,1.135,0.4495,0.371,0.525,1.635,0.38,3.8,1.35,0.4235,11.9,0,1.345,7.85,8.5,27.5,4.525,12.56,5,0.027,0.098
112,0,0,2.67,1.365,1.04,5.7,0.885,0.605,0.4965,0.192,1.4,0.392,4.84,0.166,0.99,0.885,0,0.61,0.615,8.52,26.9,6.406,12.75,6.8,0.075,0.106
113,0,0,2.91,3.165,1.06,7.35,1.505,0.122,0.3855,0.192,3.77,0.53,0.376,0,0.1745,0.2535,0,1.025,0.815,8.46,26.9,7.147,13.19,6.1,0.008,0.001
114,0,0,1.35,1.885,0.755,7.75,0.495,0.077,0.439,0.1305,3.02,0.3735,0.505,0,0.0825,0.3155,0,0.945,0.655,8.45,27.3,7.658,12.77,5.9,0.018,0.001
115,0,0,1.38,2.23,0.715,4.355,0.64,0.074,0.3775,5.7,1.435,0.344,0.88,0,0.1545,0.615,0,0.925,0.505,8.44,27.6,11.553,12.76,5.7,0.036,0.001
116,0,0,1.815,1.46,0.3535,7.7,0.81,0.0675,0.3865,0.3725,2.565,0.266,1.255,0.305,0.2315,15.4,0,0.985,2.825,8.49,27.7,3.473,12.62,6.3,0.066,0.001
117,0,0,2.51,1.32,0.3905,9,1.46,0.13,0.2715,1.74,2.78,0.345,4.14,0.271,0.186,11.75,0,1.07,0.53,8.46,27.2,3.855,12.53,5.7,0.121,0.001
118,0,0,2.405,2.675,0.257,8.15,0.835,1.805,0.89,0.25,4.205,1.065,0.825,0,1.19,0.464,0,2.125,1.155,8.42,27,8.437,12.39,5.7,0.251,0.079
119,0,0,2.27,1.55,0.1275,12.5,1.945,1.48,0.8,0.187,1.665,1.005,0.895,0.162,1.23,0.73,0.4775,2.09,1.05,8.44,26.7,7.571,12.58,6.3,0.285,0.093
120,0,0,2.64,5.8,0.149,9.1,0,1.46,0.65,0,3.685,1.595,0.575,0,1.175,1.19,0,2.47,1.08,8.44,26.7,8.144,12.71,6,0.357,0.074
121,0,0,2.33,3.065,0.0915,7.9,0.585,1.415,0.487,0.393,1.855,1.26,1.865,0,0.88,1.3,0.26,2.43,1.05,8.44,26.7,7.348,12.57,6.7,0.327,0.081
122,0,0,2.865,2.155,0.2005,8.25,0.965,1.21,0.409,0.1665,3.335,1.62,0.825,0.2985,1.005,1.265,0.375,2.445,1.025,8.42,26.7,7.878,12.55,6.2,0.245,0.117
