"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19"
"HKDryMP3",-1.05289738697245,-0.290725988139704,-0.122938326034882,-0.94632228456481,-0.0684970333401672,-0.131476312276351,-0.162256905356278,-0.135818477276836,0.22195408469379,0.227308970919861,0.25214109705831,-0.28861905479064,-0.133085429695702,0.175628033068448,0.15580220121597,0.031879378662378,0.0499662441367651,-0.0242168981537722,-0.0526444649691363
"HKDryMP4",-1.1235003649539,-0.363476207702023,-0.0302037246880147,-0.909377907031749,0.0504574055285028,0.0102447728355094,-0.271769753178476,-0.0219095555372767,0.0773766714120784,0.31946349947359,0.109845768261307,-0.196339551984809,-0.060825722966464,0.0907976641257678,0.162910785382531,0.0189691409439235,-0.0932781901883534,0.0539547039417248,-0.0658524101083373
"HKDryMP5",-1.12607910962854,-0.35159028642685,-0.0649150427474111,-1.09137005341803,-0.079264947407268,-0.124886873529569,-0.151157348117988,-0.243715292921804,0.0791962090351799,0.299847989137468,0.364511720288841,-0.352189471144115,-0.104920331817818,0.228077994159677,0.0549197057533565,0.0172420560249558,-0.0295937605474911,-0.0106664323188189,-0.0414216912508105
"HKDryMR1",-1.31567329438945,-0.744440626061569,-0.0783429613891425,-1.11815379538257,-0.108609591625395,-0.0968683402347016,-0.127717811580283,-0.211458957147846,0.159616569702361,0.630760605679681,0.81576049998544,-0.114099978839646,-0.184184632113136,0.14424830418328,0.154617601519809,0.00821577016947594,-0.00679726406524692,-0.0545303368701069,0.00605072690019083
"HKDryMR2",-1.16211910971748,-0.960701170074186,-0.057351442551839,-1.29513021398162,-0.188801412828699,-0.15787686686114,-0.0591694584095555,-0.482821228449429,0.31427177149439,0.754939599155111,0.983869054907917,-0.187763798428108,-0.366988497000824,0.298437568339487,0.0979532449593087,0.0771368847669869,0.107689315107202,0.0857099423389886,0.0310510140154262
"HKDryMR3",-1.14493116478784,-0.631855835048215,-0.187016513953416,-1.22065210964309,0.00467343110887235,-0.127868821174478,-0.0970046855324084,-0.289733728788737,0.618617511464129,0.520141556274586,0.670302814688468,-0.0813936015639603,-0.444024547260499,0.220939585847372,0.278923760436747,0.138425956055778,0.0928347886462671,0.0662351771359352,-0.00175337841686745
"HKDryMR4",-1.22719339809971,-0.708009824753581,-0.106942524599963,-1.22501235855996,-0.0952848044938654,-0.13302335828587,-0.06158932162483,-0.368321283485243,0.41864502045166,0.554773258576464,0.732271058466372,-0.120641757075964,-0.331550632135751,0.191016271430204,0.176891313622597,0.0559349779217485,0.0858662540128328,-0.0247800092988772,0.0144811398929388
"HKDryMR5",-1.2241828012385,-0.924529147470786,-0.0494947023722672,-1.29675107374864,-0.193129041938911,-0.14869490382506,-0.0444212269023505,-0.477753007445375,0.296975993901747,0.755707187736831,1.00717622808574,-0.171264096720441,-0.361453585677376,0.316950823918805,0.149587124685206,0.0235629672356756,0.10267474267883,-0.0124978827350095,0.0366100466137526
"HKDryWWTP1",0.363909634919154,2.0983195571359,-0.402815827551166,-0.340843329062248,0.69508303922388,-0.0590039883041103,0.0651891587329229,-1.58191326314284,-0.49592915692475,-0.307899929568468,0.794251037897876,-0.142047869451532,-0.285037961780987,0.00297265000410119,-0.0805664970348152,0.0536794653343419,0.157372475398855,0.367285616642966,-0.0415411982787896
"HKDryWWTP2",0.25716844916252,2.75879235578772,-0.389080288699425,0.149332945313866,0.658952534230956,0.0926978847387267,-0.102063985222702,-0.531030684903579,-0.082833466756036,0.270312148058483,0.311356417332926,0.163019865604326,-0.176374088937574,-0.452198821053051,0.562346772705965,0.0578259809291272,0.262589030544501,-0.24488962647368,-0.147363594381961
"HKDryWWTP3",2.71664559439495,8.02666367438332,-0.786131525073628,1.27932421716239,1.54994742882559,0.289183002879003,-0.104079486589793,-0.887060421544555,-0.253597648293824,-2.29265037190908,0.963630990423793,-1.71837711075875,-0.373412732891567,0.729923885269334,-0.243333131439588,0.18381651800963,0.0809830406611391,-0.0297848629167665,0.0995091505296897
"HKDryWWTP4",3.28927557405598,9.59828236029679,-0.505266501314347,1.40097704140933,1.29719683878974,0.384378556873437,-0.0773616735011065,-0.226682062296291,-0.470004276181265,-1.11119485266963,1.00539842109712,-0.712469682967117,-0.245122469863827,-0.326702905354969,0.581616146203771,0.0224830108668022,-0.0940216867998594,-0.126707520388602,-0.110968681452363
"HKWetMB1",-0.90203172436636,-0.608959039595707,0.0515075490750919,0.534945007743395,-0.384335291995687,0.0754285441529397,-0.321995166613908,0.636239952089155,-0.356081733783203,0.334673649679634,-0.00171718936156031,-0.312136332663813,0.0736860378021135,0.0452373682095607,0.0322931201236581,-0.078717123483652,-0.27360856612033,0.036809633745821,-0.0195683143758135
"HKWetMB2",-1.23282590958083,-0.16755312253201,-0.131138117609999,-0.51688994197295,-0.119414639381614,-0.160179921154117,-0.0298413201050778,-0.0129596805233689,0.328990419975506,-0.307353246764111,-0.15687018088237,-0.121734903644784,0.01229476134872,-0.105498161545791,-0.0499764331441075,0.071427135506606,-0.144228450007703,-0.0118229563114735,-0.0264127059682788
"HKWetMB3",-1.3738121415595,-0.395302921495912,0.0218736888396578,-0.566008205041717,-0.378994189809215,-0.22220063961484,0.0799467629831394,-0.264284455395532,0.115473512723827,-0.0984610606688033,0.0984613609688607,-0.195325181548446,0.180645233250603,-0.0681551049051397,-0.13368454141606,-0.0162954916645003,-0.27000371348889,0.0284218401259078,-0.00373690141715476
"HKWetMB4",-1.14023569065681,-0.482592494611897,-0.139183223913243,-0.305549042736828,-0.0885168054646656,-0.0831925203617293,-0.296493060997156,0.420389204489067,-0.37175124348782,0.123645053873466,-0.14724665632803,-0.0881050942859997,0.061309902031955,-0.0655133610451803,0.00799939183726646,-0.0300213727565575,-0.119596790632241,0.0514901119435286,-0.0189004288251746
