ID,pH,Salinity,DOC,DO,Temperature,NO3,PO4,Amoxicillin,Ampicillin,Azithromycin,Cefalexin,Cefotaxime,Chlortetracycline,Ciprofloxacin
A12,-0.631710435,1.06295291,-0.705532086,-0.356236357,-0.512943432,-0.21950575,-0.603377225,-1.228874353,-0.717775813,-0.188131792,-1.111072259,0.016489572,-0.101181023,-0.153986676
A13,-0.709715164,1.06295291,-0.635167896,-0.492813618,-0.500604349,-0.275801108,-0.57325774,-1.169544216,-0.759543807,-0.210387939,-0.745514749,0.003948766,-0.048520895,-0.285893207
A14,-0.59270807,1.054871431,-0.640273185,-0.365991876,-0.421531393,-0.21950575,-0.683695851,-1.347458445,-0.654141335,-0.112827405,-1.205663783,-0.047904591,-0.114661951,-0.080910145
A15,0.187339228,1.077499572,-0.633836082,-0.47655442,-0.51109257,-0.191358072,-0.733894993,-1.305169474,-0.055013023,-0.501215799,-0.122433738,0.27447542,-0.224249821,0.111312956
A16,-0.826722259,1.255292101,-0.642270906,-0.544843051,-0.29916882,-0.181975512,-0.332301859,-1.379501019,-0.413233793,0.061195998,-0.360458423,-0.783722902,-0.36040064,0.294168724
A17,-0.904726989,1.261757284,-0.640939092,-0.55134673,-0.286829737,-0.172592953,-0.292142546,-1.178345886,0.178873108,-0.866445023,0.168665833,0.899555432,-0.134491245,-0.069224838
A18,-0.748717529,1.260140989,-0.640273185,-0.535087532,-0.27983759,-0.247653429,-0.51301877,-1.481581423,-0.539077771,0.122690535,-0.997707635,-0.273334863,-0.145496651,-0.04215584
A19,-0.709715164,1.248826919,-0.636499711,-0.55134673,-0.291971022,-0.191358072,-0.703775508,-1.242741721,0.109113554,-0.57846135,-0.254210859,0.523672523,-0.167067628,0.02947609
A20,-0.787719894,1.253675806,-0.624513382,-0.570857767,-0.281482801,-0.247653429,-0.533098426,-1.248854122,-0.135813586,0.158553829,-0.866967822,-0.202302904,0.007654624,-0.048244233
A21,-1.138741178,1.109825486,-0.396773136,-0.453791543,-0.469036862,-0.172592953,-0.713815336,-1.199287461,-0.418180467,-0.085691223,-1.096980443,-0.139108612,-0.166617056,-0.106902912
